#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 08 15 19 10  60  6.0  8.0    MM    MM    MM  MM 1015.0  29.8  29.9  26.9   MM   MM    MM
2023 08 15 19 00  60  7.0  8.0    MM    MM    MM  MM 1015.0  29.8    MM  26.8   MM -1.3    MM
2023 08 15 18 50  60  7.0  8.0   2.0     8   6.0 111 1015.0  29.8    MM  26.6   MM   MM    MM
2023 08 15 18 40  60  7.0  9.0    MM    MM    MM  MM 1015.1  29.8  29.9  26.5   MM   MM    MM
2023 08 15 18 30  60  7.0  8.0    MM    MM    MM  MM 1015.2  29.7  29.9  26.8   MM   MM    MM
2023 08 15 18 20  70  7.0  8.0   2.1     8   6.2 113 1015.2  29.7  29.9  26.7   MM   MM    MM
2023 08 15 18 10  70  7.0  9.0   2.1    MM   6.2 113 1015.3  29.7  29.9  26.6   MM   MM    MM
2023 08 15 18 00  70  7.0  8.0    MM    MM    MM  MM 1015.5  29.8    MM  26.6   MM -1.3    MM
2023 08 15 17 50  70  7.0  9.0   2.0    MM   5.9 111 1015.6  29.8  29.9  26.2   MM   MM    MM
2023 08 15 17 40  MM   MM   MM   2.0     8   5.9 111     MM    MM    MM    MM   MM   MM    MM
2023 08 15 17 30  80  6.0  8.0    MM    MM    MM  MM 1015.8  29.8  29.9  26.7   MM   MM    MM
2023 08 15 17 20  70  7.0  9.0   1.9     8   5.8 108 1015.8  29.8  29.9  26.4   MM   MM    MM
2023 08 15 17 10  80  7.0  9.0   1.9    MM   5.8 108 1015.9  29.7  29.9  26.6   MM   MM    MM
2023 08 15 17 00  70  7.0  9.0    MM    MM    MM  MM 1016.0  29.7  29.9  26.8   MM -1.1    MM
2023 08 15 16 50  70  7.0  8.0   2.0     8   6.0 104 1016.0  29.6  29.9  26.8   MM   MM    MM
2023 08 15 16 40  70  7.0  8.0    MM    MM    MM  MM 1016.1  29.6  29.9  26.7   MM   MM    MM
2023 08 15 16 30  70  7.0  9.0    MM    MM    MM  MM 1016.1  29.6  29.8  26.6   MM   MM    MM
2023 08 15 16 20  70  7.0  9.0   2.0     8   5.9 112 1016.2  29.6  29.8  26.9   MM   MM    MM
2023 08 15 16 10  70  7.0  9.0    MM    MM    MM  MM 1016.2  29.6  29.8  26.5   MM   MM    MM
2023 08 15 16 00  70  8.0  9.0    MM    MM    MM  MM 1016.3  29.6  29.8  26.5   MM -0.7    MM
2023 08 15 15 50  70  8.0  9.0   2.0     8   5.9 108 1016.3  29.6  29.8  26.5   MM   MM    MM
2023 08 15 15 40  70  8.0 10.0    MM    MM    MM  MM 1016.3  29.6  29.8  26.6   MM   MM    MM
2023 08 15 15 30  70  8.0  9.0    MM    MM    MM  MM 1016.4  29.6  29.8  26.5   MM   MM    MM
2023 08 15 15 20  70  8.0  9.0   2.0     8   5.8 108 1016.6  29.6    MM  26.3   MM   MM    MM
2023 08 15 15 10  70  8.0 10.0   2.0    MM   5.8 108 1016.7  29.6  29.8  26.4   MM   MM    MM
2023 08 15 15 00  70  8.0 10.0    MM    MM    MM  MM 1016.7  29.6  29.8  26.3   MM +0.0    MM
2023 08 15 14 50  70  8.0  9.0   1.9     8   5.8 108 1016.8  29.7  29.8  26.6   MM   MM    MM
2023 08 15 14 40  70  7.0  9.0    MM    MM    MM  MM 1016.9  29.7  29.8  26.5   MM   MM    MM
